,Company,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Base Model,Car Age,Age Segment,Price Segment,Engine CC,Max Power,Fuel_Diesel,Fuel_Hybrid,Fuel_LPG,Fuel_Petrol,Fuel_Petrol+CNG
0,Honda,Amaze 1.2 VX i-VTEC,505000,2017,87150,1,Pune,Grey,1,Corporate,109.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,Amaze 1.2,8,7–10 yrs,Low to Mid Range,1198,87.0,0,0,0,1,0
1,Maruti Suzuki,Swift DZire VDI,450000,2014,75000,1,Ludhiana,White,2,Individual,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,Swift Dzire,11,11–15 yrs,Low to Mid Range,1248,74.0,1,0,0,0,0
2,Hyundai,i10 Magna 1.2 Kappa2,220000,2011,67000,1,Lucknow,Maroon,1,Individual,112.7619,FWD,3585.0,1595.0,1550.0,5.0,35.0,I10 Magna,14,11–15 yrs,Low to Mid Range,1197,79.0,0,0,0,1,0
3,Toyota,Glanza G,799000,2019,37500,1,Mangalore,Red,1,Individual,113.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,Glanza G,6,4–6 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
4,Toyota,Innova 2.4 VX 7 STR [2016-2020],1950000,2018,69000,1,Mumbai,Grey,1,Individual,343.0,RWD,4735.0,1830.0,1795.0,7.0,55.0,Innova 2.4,7,7–10 yrs,Low to Mid Range,2393,148.0,1,0,0,0,0
5,Maruti Suzuki,Ciaz ZXi,675000,2017,73315,1,Pune,Grey,1,Individual,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Zxi,8,7–10 yrs,Low to Mid Range,1373,91.0,0,0,0,1,0
6,BMW,X1 xDrive20d M Sport,2650000,2017,75000,2,Coimbatore,White,2,Individual,400.0,AWD,4439.0,1821.0,1612.0,5.0,51.0,X1 Xdrive20D,8,7–10 yrs,Low to Mid Range,1995,188.0,1,0,0,0,0
7,Skoda,Octavia 1.8 TSI Style Plus AT [2017],1390000,2017,56000,2,Mumbai,White,1,Individual,250.0,FWD,4670.0,1814.0,1476.0,5.0,50.0,Octavia 1.8,8,7–10 yrs,Low to Mid Range,1798,177.0,0,0,0,1,0
8,Nissan,Terrano XL (D),575000,2015,85000,1,Mumbai,White,1,Individual,200.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,Terrano Xl,10,7–10 yrs,Low to Mid Range,1461,84.0,1,0,0,0,0
9,Hyundai,Elite i20 Sportz 1.2,591000,2017,20281,1,Mumbai,Red,1,Individual,115.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,Elite I20,8,7–10 yrs,Low to Mid Range,1197,82.0,0,0,0,1,0
10,Renault,Kwid 1.0 RXT [2016-2019],459999,2018,22541,1,Bangalore,Grey,1,Individual,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,Kwid 1.0,7,7–10 yrs,Low to Mid Range,999,67.0,0,0,0,1,0
11,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],1075000,2019,30672,2,Bangalore,Blue,1,Individual,138.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,Ciaz Alpha,6,4–6 yrs,Low to Mid Range,1462,103.0,0,0,0,1,0
12,Tata,Harrier XZ [2019-2020],1695000,2019,20856,1,Bangalore,Orange,1,Individual,350.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,Harrier Xz,6,4–6 yrs,Low to Mid Range,1956,138.0,1,0,0,0,0
13,Volkswagen,Polo GT TSI,944999,2017,41417,2,Bangalore,Grey,1,Individual,175.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,Polo Gt,8,7–10 yrs,Low to Mid Range,1197,103.0,0,0,0,1,0
